transaction_id,flight_id,transaction_time,scheduled_departure_time,departure_delay_minutes,is_international,destination_region,traveler_type,income_segment,product_category,product_name,unit_price_usd,quantity,total_amount_usd
103,53,2025-09-19 16:30:00,2025-09-19 17:00:00,76,True,Europe,Luxury Shopper,High,Watch,Serpenti Watch,14500,1,14500
436,219,2025-09-06 17:35:00,2025-09-06 19:00:00,8,False,Europe,Luxury Shopper,High,Watch,Octo Finissimo,12800,1,12800
861,427,2025-09-24 10:20:00,2025-09-24 12:00:00,49,False,Domestic,Leisure,High,Jewelry,Serpenti Ring,6800,1,6800
271,137,2025-09-20 14:56:00,2025-09-20 17:00:00,8,True,Domestic,Luxury Shopper,High,Watch,Serpenti Watch,14500,1,14500
107,55,2025-09-10 07:18:00,2025-09-10 08:00:00,47,True,Domestic,Luxury Shopper,High,Fragrance,Le Gemme Tygar,260,1,260
72,35,2025-09-13 04:15:00,2025-09-13 06:00:00,16,False,Domestic,Luxury Shopper,Ultra High,Jewelry,B.Zero1 Necklace,5200,1,5200
701,343,2025-09-22 12:23:00,2025-09-22 14:00:00,0,True,Asia,Luxury Shopper,High,Jewelry,Serpenti Ring,6800,1,6800
21,10,2025-09-29 11:22:00,2025-09-29 14:00:00,119,True,Europe,Luxury Shopper,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
615,303,2025-09-27 13:01:00,2025-09-27 15:00:00,13,True,Middle East,Leisure,High,Watch,Serpenti Watch,14500,1,14500
122,61,2025-09-10 13:51:00,2025-09-10 15:00:00,81,True,Domestic,Luxury Shopper,Ultra High,Fragrance,Le Gemme Tygar,260,2,520
467,234,2025-09-04 13:37:00,2025-09-04 15:00:00,25,True,Domestic,Business,High,Leather,Serpenti Forever Bag,2100,1,2100
215,108,2025-09-28 12:40:00,2025-09-28 14:00:00,77,True,Asia,Leisure,High,Leather,Bulgari Tote,1800,2,3600
331,168,2025-09-11 18:59:00,2025-09-11 20:00:00,114,True,Asia,Leisure,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
459,229,2025-09-14 14:35:00,2025-09-14 17:00:00,103,True,Asia,Business,High,Jewelry,B.Zero1 Necklace,5200,1,5200
88,44,2025-09-03 09:36:00,2025-09-03 11:00:00,16,False,Domestic,Luxury Shopper,Ultra High,Watch,Octo Finissimo,12800,1,12800
373,191,2025-09-03 18:07:00,2025-09-03 20:00:00,40,False,Europe,Leisure,Ultra High,Jewelry,Divas’ Dream Earrings,7400,1,7400
100,50,2025-09-27 12:10:00,2025-09-27 13:00:00,73,True,Asia,Business,High,Jewelry,Divas’ Dream Earrings,7400,1,7400
872,432,2025-09-25 19:13:00,2025-09-25 22:00:00,103,True,Europe,Business,High,Leather,Bulgari Tote,1800,1,1800
664,328,2025-09-09 04:18:00,2025-09-09 06:00:00,110,False,Europe,Luxury Shopper,High,Watch,Serpenti Watch,14500,1,14500
131,64,2025-09-24 05:40:00,2025-09-24 08:00:00,96,False,Europe,Business,Ultra High,Fragrance,Omnia Crystalline,180,2,360
662,327,2025-09-03 07:24:00,2025-09-03 10:00:00,94,True,Asia,Leisure,Ultra High,Jewelry,Divas’ Dream Earrings,7400,1,7400
309,157,2025-09-25 04:19:00,2025-09-25 07:00:00,31,True,Europe,Leisure,Ultra High,Leather,Bulgari Tote,1800,2,3600
770,379,2025-09-23 05:11:00,2025-09-23 07:00:00,99,False,Europe,Luxury Shopper,High,Jewelry,Serpenti Ring,6800,1,6800
344,174,2025-09-11 07:57:00,2025-09-11 09:00:00,101,True,Europe,Leisure,Ultra High,Watch,Octo Finissimo,12800,1,12800
492,246,2025-09-23 08:03:00,2025-09-23 09:00:00,6,True,Europe,Luxury Shopper,High,Fragrance,Le Gemme Tygar,260,1,260
414,209,2025-09-20 06:42:00,2025-09-20 08:00:00,32,True,Asia,Leisure,High,Fragrance,Le Gemme Tygar,260,2,520
806,398,2025-09-13 04:06:00,2025-09-13 06:00:00,94,True,Europe,Leisure,Ultra High,Fragrance,Omnia Crystalline,180,2,360
386,196,2025-09-17 16:27:00,2025-09-17 19:00:00,35,True,Middle East,Leisure,Ultra High,Watch,Octo Finissimo,12800,1,12800
192,95,2025-09-05 19:09:00,2025-09-05 20:00:00,56,False,Domestic,Business,High,Watch,Octo Finissimo,12800,1,12800
956,478,2025-09-04 11:15:00,2025-09-04 12:00:00,47,True,Europe,Luxury Shopper,Ultra High,Fragrance,Omnia Crystalline,180,2,360
277,140,2025-09-12 17:24:00,2025-09-12 18:00:00,66,False,Asia,Leisure,Ultra High,Jewelry,Divas’ Dream Earrings,7400,1,7400
161,80,2025-09-18 20:56:00,2025-09-18 22:00:00,30,False,Domestic,Leisure,High,Fragrance,Le Gemme Tygar,260,1,260
460,230,2025-09-21 07:23:00,2025-09-21 09:00:00,58,True,Middle East,Leisure,High,Fragrance,Le Gemme Tygar,260,1,260
314,160,2025-09-03 08:01:00,2025-09-03 10:00:00,118,True,Asia,Leisure,High,Leather,Bulgari Tote,1800,1,1800
22,10,2025-09-29 11:14:00,2025-09-29 14:00:00,119,True,Domestic,Business,High,Leather,Bulgari Tote,1800,2,3600
253,129,2025-09-22 15:22:00,2025-09-22 17:00:00,33,True,Domestic,Luxury Shopper,High,Leather,Bulgari Tote,1800,2,3600
748,367,2025-09-10 11:14:00,2025-09-10 12:00:00,106,True,Asia,Luxury Shopper,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
857,425,2025-09-18 09:56:00,2025-09-18 11:00:00,77,True,Europe,Leisure,Ultra High,Jewelry,Divas’ Dream Earrings,7400,1,7400
561,278,2025-09-21 18:16:00,2025-09-21 19:00:00,23,True,Middle East,Luxury Shopper,Ultra High,Watch,Serpenti Watch,14500,1,14500
475,238,2025-09-20 09:19:00,2025-09-20 12:00:00,55,True,Europe,Leisure,High,Jewelry,B.Zero1 Necklace,5200,1,5200
59,29,2025-09-30 19:22:00,2025-09-30 21:00:00,91,False,Domestic,Luxury Shopper,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
511,254,2025-09-30 09:33:00,2025-09-30 12:00:00,90,False,Middle East,Leisure,High,Leather,Serpenti Forever Bag,2100,1,2100
682,335,2025-09-29 04:19:00,2025-09-29 07:00:00,72,True,Asia,Luxury Shopper,Ultra High,Leather,Bulgari Tote,1800,1,1800
476,239,2025-09-05 18:04:00,2025-09-05 19:00:00,47,True,Asia,Luxury Shopper,Ultra High,Watch,Octo Finissimo,12800,1,12800
700,343,2025-09-22 12:35:00,2025-09-22 14:00:00,0,True,Europe,Leisure,High,Fragrance,Le Gemme Tygar,260,2,520
976,487,2025-09-22 18:14:00,2025-09-22 21:00:00,3,False,Europe,Leisure,High,Jewelry,Divas’ Dream Earrings,7400,1,7400
783,386,2025-09-01 10:59:00,2025-09-01 13:00:00,93,True,Domestic,Business,Ultra High,Fragrance,Le Gemme Tygar,260,2,520
190,94,2025-09-26 08:14:00,2025-09-26 09:00:00,48,True,Europe,Business,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
958,479,2025-09-21 14:16:00,2025-09-21 15:00:00,15,True,Domestic,Business,Ultra High,Jewelry,B.Zero1 Necklace,5200,1,5200
687,336,2025-09-13 05:34:00,2025-09-13 08:00:00,104,True,Asia,Business,High,Jewelry,B.Zero1 Necklace,5200,1,5200
958,479,2025-09-21 14:16:00,2025-09-21 15:00:00,15,True,Domestic,Business,Ultra High,Jewelry,B.Zero1 Necklace,5200,1,5200
563,279,2025-09-17 17:26:00,2025-09-17 20:00:00,78,True,Middle East,Business,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
876,434,2025-09-18 11:39:00,2025-09-18 13:00:00,90,True,Domestic,Business,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
567,280,2025-09-27 10:22:00,2025-09-27 11:00:00,48,True,Asia,Leisure,Ultra High,Fragrance,Omnia Crystalline,180,2,360
244,124,2025-09-03 15:44:00,2025-09-03 18:00:00,99,True,Domestic,Luxury Shopper,High,Watch,Octo Finissimo,12800,1,12800
832,411,2025-09-27 05:40:00,2025-09-27 07:00:00,39,True,Middle East,Leisure,High,Fragrance,Omnia Crystalline,180,2,360
505,252,2025-09-23 12:23:00,2025-09-23 14:00:00,7,True,Asia,Leisure,High,Leather,Serpenti Forever Bag,2100,2,4200
131,64,2025-09-24 05:40:00,2025-09-24 08:00:00,96,False,Europe,Business,Ultra High,Fragrance,Omnia Crystalline,180,2,360
485,242,2025-09-06 15:25:00,2025-09-06 17:00:00,1,False,Asia,Leisure,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
819,405,2025-09-09 15:06:00,2025-09-09 17:00:00,98,True,Asia,Leisure,Ultra High,Watch,Serpenti Watch,14500,1,14500
647,319,2025-09-01 10:31:00,2025-09-01 12:00:00,110,True,Europe,Business,High,Jewelry,B.Zero1 Necklace,5200,1,5200
21,10,2025-09-29 11:22:00,2025-09-29 14:00:00,119,True,Europe,Luxury Shopper,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
841,416,2025-09-20 14:51:00,2025-09-20 16:00:00,94,True,Asia,Luxury Shopper,High,Watch,Serpenti Watch,14500,1,14500
167,82,2025-09-17 10:32:00,2025-09-17 12:00:00,67,False,Europe,Luxury Shopper,Ultra High,Fragrance,Omnia Crystalline,180,2,360
274,138,2025-09-23 03:05:00,2025-09-23 06:00:00,75,True,Middle East,Business,High,Watch,Serpenti Watch,14500,1,14500
388,198,2025-09-27 05:42:00,2025-09-27 08:00:00,89,False,Domestic,Leisure,High,Jewelry,B.Zero1 Necklace,5200,1,5200
601,296,2025-09-21 10:29:00,2025-09-21 13:00:00,0,True,Europe,Business,Ultra High,Watch,Octo Finissimo,12800,1,12800
316,160,2025-09-03 07:04:00,2025-09-03 10:00:00,118,True,Europe,Luxury Shopper,Ultra High,Watch,Octo Finissimo,12800,1,12800
14,7,2025-09-21 03:16:00,2025-09-21 06:00:00,56,False,Europe,Business,High,Fragrance,Le Gemme Tygar,260,2,520
242,123,2025-09-02 11:34:00,2025-09-02 14:00:00,86,False,Asia,Business,High,Jewelry,B.Zero1 Necklace,5200,1,5200
777,382,2025-09-05 07:34:00,2025-09-05 10:00:00,96,True,Asia,Business,High,Fragrance,Le Gemme Tygar,260,1,260
346,175,2025-09-17 17:25:00,2025-09-17 19:00:00,53,True,Asia,Leisure,High,Jewelry,B.Zero1 Necklace,5200,1,5200
565,280,2025-09-27 10:21:00,2025-09-27 11:00:00,48,True,Asia,Leisure,High,Watch,Octo Finissimo,12800,1,12800
898,443,2025-09-06 07:04:00,2025-09-06 09:00:00,70,True,Asia,Business,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
340,172,2025-09-26 09:10:00,2025-09-26 10:00:00,9,False,Asia,Luxury Shopper,Ultra High,Leather,Bulgari Tote,1800,1,1800
92,47,2025-09-24 18:19:00,2025-09-24 19:00:00,21,False,Middle East,Business,Ultra High,Jewelry,B.Zero1 Necklace,5200,1,5200
367,187,2025-09-01 11:29:00,2025-09-01 13:00:00,81,True,Asia,Business,Ultra High,Leather,Bulgari Tote,1800,1,1800
956,478,2025-09-04 11:15:00,2025-09-04 12:00:00,47,True,Europe,Luxury Shopper,Ultra High,Fragrance,Omnia Crystalline,180,2,360
455,227,2025-09-20 09:35:00,2025-09-20 12:00:00,89,True,Domestic,Luxury Shopper,High,Watch,Serpenti Watch,14500,1,14500
428,215,2025-09-05 10:40:00,2025-09-05 13:00:00,84,True,Middle East,Business,Ultra High,Fragrance,Le Gemme Tygar,260,1,260
509,253,2025-09-19 10:59:00,2025-09-19 12:00:00,38,False,Domestic,Leisure,High,Leather,Bulgari Tote,1800,2,3600
776,382,2025-09-05 09:16:00,2025-09-05 10:00:00,96,True,Europe,Business,High,Leather,Bulgari Tote,1800,1,1800
943,468,2025-09-28 04:01:00,2025-09-28 07:00:00,47,False,Domestic,Business,High,Fragrance,Omnia Crystalline,180,1,180
35,17,2025-09-27 05:23:00,2025-09-27 08:00:00,113,True,Europe,Leisure,Ultra High,Jewelry,B.Zero1 Necklace,5200,1,5200
206,102,2025-09-03 13:49:00,2025-09-03 16:00:00,9,False,Domestic,Leisure,High,Jewelry,Serpenti Ring,6800,1,6800
81,41,2025-09-01 07:07:00,2025-09-01 10:00:00,87,False,Middle East,Luxury Shopper,High,Jewelry,Divas’ Dream Earrings,7400,1,7400
932,461,2025-09-21 19:54:00,2025-09-21 22:00:00,14,True,Domestic,Leisure,High,Watch,Octo Finissimo,12800,1,12800
562,279,2025-09-17 17:41:00,2025-09-17 20:00:00,78,True,Asia,Business,Ultra High,Fragrance,Omnia Crystalline,180,1,180
872,432,2025-09-25 19:13:00,2025-09-25 22:00:00,103,True,Europe,Business,High,Leather,Bulgari Tote,1800,1,1800
388,198,2025-09-27 05:42:00,2025-09-27 08:00:00,89,False,Domestic,Leisure,High,Jewelry,B.Zero1 Necklace,5200,1,5200
2,1,2025-09-01 09:03:00,2025-09-01 11:00:00,113,True,Asia,Leisure,High,Leather,Bulgari Tote,1800,1,1800
390,200,2025-09-18 05:59:00,2025-09-18 08:00:00,48,True,Middle East,Business,Ultra High,Jewelry,Serpenti Ring,6800,1,6800
566,280,2025-09-27 09:26:00,2025-09-27 11:00:00,48,True,Asia,Luxury Shopper,High,Leather,Bulgari Tote,1800,1,1800
106,55,2025-09-10 07:03:00,2025-09-10 08:00:00,47,True,Asia,Business,High,Fragrance,Le Gemme Tygar,260,1,260
772,380,2025-09-11 08:48:00,2025-09-11 10:00:00,103,True,Asia,Leisure,Ultra High,Jewelry,B.Zero1 Necklace,5200,1,5200
822,406,2025-09-17 14:11:00,2025-09-17 17:00:00,58,True,Asia,Business,High,Fragrance,Le Gemme Tygar,260,2,520
477,239,2025-09-05 17:11:00,2025-09-05 19:00:00,47,True,Middle East,Business,High,Jewelry,Divas’ Dream Earrings,7400,1,7400
703,344,2025-09-03 08:46:00,2025-09-03 10:00:00,62,True,Middle East,Business,High,Jewelry,B.Zero1 Necklace,5200,1,5200
402,204,2025-09-22 10:38:00,2025-09-22 13:00:00,3,True,Asia,Business,High,Fragrance,Omnia Crystalline,180,2,360
730,360,2025-09-17 10:22:00,2025-09-17 12:00:00,115,True,Europe,Business,High,Leather,Serpenti Forever Bag,2100,2,4200
556,276,2025-09-14 18:29:00,2025-09-14 20:00:00,55,True,Europe,Luxury Shopper,Ultra High,Leather,Bulgari Tote,1800,2,3600
162,80,2025-09-18 21:19:00,2025-09-18 22:00:00,30,True,Asia,Luxury Shopper,High,Jewelry,B.Zero1 Necklace,5200,1,5200
202,100,2025-09-04 19:07:00,2025-09-04 20:00:00,79,False,Domestic,Luxury Shopper,High,Watch,Octo Finissimo,12800,1,12800
958,479,2025-09-21 14:16:00,2025-09-21 15:00:00,15,True,Domestic,Business,Ultra High,Jewelry,B.Zero1 Necklace,5200,1,5200
996,497,2025-09-30 11:50:00,2025-09-30 14:00:00,84,True,Domestic,Luxury Shopper,High,Jewelry,B.Zero1 Necklace,5200,1,5200
270,136,2025-09-27 18:11:00,2025-09-27 19:00:00,48,True,Middle East,Leisure,High,Jewelry,B.Zero1 Necklace,5200,1,5200
863,428,2025-09-30 08:50:00,2025-09-30 11:00:00,15,True,Asia,Business,Ultra High,Jewelry,B.Zero1 Necklace,5200,1,5200
816,403,2025-09-26 08:29:00,2025-09-26 09:00:00,113,True,Europe,Luxury Shopper,High,Watch,Octo Finissimo,12800,1,12800
271,137,2025-09-20 14:56:00,2025-09-20 17:00:00,8,True,Domestic,Luxury Shopper,High,Watch,Serpenti Watch,14500,1,14500
456,228,2025-09-07 21:09:00,2025-09-07 22:00:00,119,False,Asia,Luxury Shopper,High,Jewelry,Serpenti Ring,6800,1,6800
462,231,2025-09-13 10:08:00,2025-09-13 11:00:00,93,False,Europe,Leisure,High,Fragrance,Omnia Crystalline,180,2,360
727,359,2025-09-22 18:27:00,2025-09-22 20:00:00,25,True,Middle East,Leisure,Ultra High,Leather,Bulgari Tote,1800,2,3600
252,128,2025-09-15 18:51:00,2025-09-15 21:00:00,63,True,Domestic,Business,Ultra High,Fragrance,Omnia Crystalline,180,1,180
702,343,2025-09-22 11:57:00,2025-09-22 14:00:00,0,True,Asia,Business,Ultra High,Fragrance,Omnia Crystalline,180,2,360
296,151,2025-09-16 07:38:00,2025-09-16 10:00:00,10,True,Asia,Luxury Shopper,Ultra High,Jewelry,Divas’ Dream Earrings,7400,1,7400
725,358,2025-09-03 14:34:00,2025-09-03 17:00:00,11,True,Middle East,Business,High,Fragrance,Le Gemme Tygar,260,2,520
720,353,2025-09-21 10:57:00,2025-09-21 12:00:00,71,True,Europe,Leisure,High,Leather,Bulgari Tote,1800,2,3600
749,368,2025-09-11 08:22:00,2025-09-11 10:00:00,46,True,Asia,Leisure,High,Leather,Serpenti Forever Bag,2100,1,2100
338,170,2025-09-18 04:22:00,2025-09-18 07:00:00,79,True,Europe,Leisure,Ultra High,Fragrance,Omnia Crystalline,180,2,360
879,436,2025-09-02 19:32:00,2025-09-02 21:00:00,90,False,Europe,Business,Ultra High,Fragrance,Le Gemme Tygar,260,2,520
53,24,2025-09-29 14:29:00,2025-09-29 16:00:00,72,False,Domestic,Leisure,High,Watch,Octo Finissimo,12800,1,12800
792,392,2025-09-14 12:19:00,2025-09-14 13:00:00,33,False,Middle East,Leisure,High,Jewelry,Divas’ Dream Earrings,7400,1,7400
922,456,2025-09-07 18:01:00,2025-09-07 19:00:00,51,True,Europe,Leisure,High,Fragrance,Le Gemme Tygar,260,1,260
217,110,2025-09-30 08:07:00,2025-09-30 09:00:00,54,True,Asia,Leisure,Ultra High,Watch,Octo Finissimo,12800,1,12800
764,375,2025-09-22 16:05:00,2025-09-22 17:00:00,14,True,Domestic,Luxury Shopper,Ultra High,Leather,Serpenti Forever Bag,2100,2,4200
188,93,2025-09-03 09:00:00,2025-09-03 10:00:00,112,False,Asia,Leisure,Ultra High,Fragrance,Le Gemme Tygar,260,1,260
380,194,2025-09-16 04:43:00,2025-09-16 06:00:00,22,True,Europe,Business,High,Fragrance,Omnia Crystalline,180,1,180
493,246,2025-09-23 06:22:00,2025-09-23 09:00:00,6,True,Domestic,Leisure,Ultra High,Jewelry,Divas’ Dream Earrings,7400,1,7400
41,19,2025-09-27 09:25:00,2025-09-27 10:00:00,99,True,Asia,Luxury Shopper,High,Watch,Octo Finissimo,12800,1,12800
157,77,2025-09-10 16:55:00,2025-09-10 18:00:00,56,False,Asia,Luxury Shopper,High,Watch,Octo Finissimo,12800,1,12800
15,7,2025-09-21 03:52:00,2025-09-21 06:00:00,56,True,Asia,Leisure,High,Fragrance,Omnia Crystalline,180,1,180
813,402,2025-09-15 13:37:00,2025-09-15 15:00:00,53,True,Asia,Leisure,High,Leather,Bulgari Tote,1800,1,1800
65,32,2025-09-12 12:52:00,2025-09-12 15:00:00,51,True,Europe,Luxury Shopper,High,Jewelry,Serpenti Ring,6800,1,6800
857,425,2025-09-18 09:56:00,2025-09-18 11:00:00,77,True,Europe,Leisure,Ultra High,Jewelry,Divas’ Dream Earrings,7400,1,7400
839,414,2025-09-20 13:29:00,2025-09-20 16:00:00,20,True,Domestic,Luxury Shopper,High,Leather,Bulgari Tote,1800,1,1800
521,260,2025-09-06 04:18:00,2025-09-06 06:00:00,24,True,Domestic,Luxury Shopper,Ultra High,Fragrance,Le Gemme Tygar,260,2,520
344,174,2025-09-11 07:57:00,2025-09-11 09:00:00,101,True,Europe,Leisure,Ultra High,Watch,Octo Finissimo,12800,1,12800
129,64,2025-09-24 06:15:00,2025-09-24 08:00:00,96,False,Asia,Leisure,High,Watch,Serpenti Watch,14500,1,14500
1004,500,2025-09-30 12:34:00,2025-09-30 14:00:00,115,True,Europe,Leisure,High,Watch,Serpenti Watch,14500,1,14500
648,319,2025-09-01 10:14:00,2025-09-01 12:00:00,110,False,Domestic,Business,Ultra High,Fragrance,Omnia Crystalline,180,1,180
472,237,2025-09-15 06:21:00,2025-09-15 08:00:00,1,True,Middle East,Luxury Shopper,Ultra High,Fragrance,Le Gemme Tygar,260,1,260
63,31,2025-09-12 19:36:00,2025-09-12 22:00:00,10,True,Asia,Leisure,Ultra High,Jewelry,B.Zero1 Necklace,5200,1,5200
139,68,2025-09-02 06:28:00,2025-09-02 08:00:00,35,False,Europe,Leisure,High,Leather,Serpenti Forever Bag,2100,2,4200
499,249,2025-09-26 04:53:00,2025-09-26 06:00:00,92,True,Europe,Business,Ultra High,Jewelry,B.Zero1 Necklace,5200,1,5200
593,293,2025-09-06 07:18:00,2025-09-06 09:00:00,45,False,Domestic,Leisure,Ultra High,Leather,Serpenti Forever Bag,2100,2,4200
392,200,2025-09-18 06:06:00,2025-09-18 08:00:00,48,True,Middle East,Leisure,Ultra High,Jewelry,Divas’ Dream Earrings,7400,1,7400
675,332,2025-09-18 04:58:00,2025-09-18 07:00:00,111,False,Europe,Luxury Shopper,High,Watch,Serpenti Watch,14500,1,14500
419,211,2025-09-20 19:18:00,2025-09-20 20:00:00,111,True,Asia,Business,Ultra High,Watch,Octo Finissimo,12800,1,12800
289,147,2025-09-05 07:41:00,2025-09-05 10:00:00,109,False,Middle East,Luxury Shopper,Ultra High,Fragrance,Omnia Crystalline,180,2,360
379,194,2025-09-16 04:59:00,2025-09-16 06:00:00,22,False,Middle East,Luxury Shopper,High,Jewelry,B.Zero1 Necklace,5200,1,5200
773,380,2025-09-11 08:20:00,2025-09-11 10:00:00,103,False,Domestic,Leisure,High,Leather,Bulgari Tote,1800,2,3600
490,244,2025-09-23 16:51:00,2025-09-23 19:00:00,56,True,Asia,Business,High,Fragrance,Le Gemme Tygar,260,1,260
231,118,2025-09-26 16:53:00,2025-09-26 18:00:00,106,True,Asia,Leisure,Ultra High,Jewelry,B.Zero1 Necklace,5200,1,5200
41,19,2025-09-27 09:25:00,2025-09-27 10:00:00,99,True,Asia,Luxury Shopper,High,Watch,Octo Finissimo,12800,1,12800
