Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
AS,9/30/2025,6,N801AK,DCA,12:47,12:39,312,283,-8,12:53,14,0,0,0,0,0
AS,9/30/2025,193,N720AL,ANC,19:59,19:52,335,315,-7,20:07,15,0,0,0,0,0
AS,9/30/2025,282,N985AK,EWR,21:26,21:23,333,304,-3,21:41,18,0,0,0,0,0
AS,9/30/2025,284,N291BT,EWR,7:00,6:52,336,309,-8,7:13,21,0,0,0,0,0
AS,9/30/2025,560,N513AS,KOA,8:07,7:57,340,339,-10,8:18,21,0,0,0,0,0
AS,9/30/2025,1083,N528AS,SEA,14:06,13:54,172,168,-12,14:17,23,0,0,0,0,0
AS,9/30/2025,1093,N546AS,SEA,18:45,18:57,171,179,12,19:11,14,0,0,8,0,12
AS,9/30/2025,1124,N549AS,PDX,7:00,7:59,146,151,59,8:21,22,59,0,5,0,0
AS,9/30/2025,1147,N570AS,SEA,15:40,15:35,165,164,-5,15:51,16,0,0,0,0,0
AS,9/30/2025,1167,N530AS,PDX,16:48,16:38,142,140,-10,16:54,16,0,0,0,0,0
AS,9/30/2025,1178,N287AK,SEA,7:00,6:49,177,181,-11,7:14,25,0,0,0,0,0
AS,9/30/2025,1179,N581AS,SEA,8:00,7:49,178,211,-11,8:03,14,0,0,22,0,0
AS,9/30/2025,1240,N263AK,PDX,11:00,10:56,144,140,-4,11:12,16,0,0,0,0,0
AS,9/30/2025,1280,N974AK,GEG,19:50,19:45,155,144,-5,20:01,16,0,0,0,0,0
AS,9/30/2025,1293,N813AK,SEA,6:00,5:59,174,177,-1,6:27,28,0,0,0,0,0
AS,9/30/2025,1301,N707AL,SEA,17:36,17:30,168,167,-6,17:43,13,0,0,0,0,0
AS,9/30/2025,1305,N732AL,SEA,12:00,12:04,172,181,4,12:37,33,0,0,0,0,0
AS,9/30/2025,1315,N538AS,PDX,14:06,14:01,144,134,-5,14:19,18,0,0,0,0,0
AS,9/30/2025,1317,N537AS,SEA,10:00,9:50,174,162,-10,10:07,17,0,0,0,0,0
AS,9/30/2025,1397,N268AK,PDX,18:07,18:01,143,157,-6,18:31,30,0,0,0,0,0
AA,9/30/2025,2,N109NN,JFK,7:00,6:49,333,314,-11,7:01,12,0,0,0,0,0
AA,9/30/2025,4,N111ZM,JFK,15:20,15:13,332,315,-7,15:26,13,0,0,0,0,0
AA,9/30/2025,10,N104NN,JFK,22:05,21:55,327,326,-10,22:19,24,0,0,0,0,0
AA,9/30/2025,12,N112AN,BOS,8:30,8:25,337,325,-5,8:38,13,0,0,0,0,0
AA,9/30/2025,28,N116AN,JFK,23:00,23:52,328,324,52,0:06,14,22,0,0,0,26
AA,9/30/2025,31,N457AM,HNL,8:48,8:42,357,348,-6,8:56,14,0,0,0,0,0
AA,9/30/2025,32,N110AN,JFK,11:30,11:23,333,315,-7,11:34,11,0,0,0,0,0
AA,9/30/2025,59,N406AN,KOA,10:58,11:02,344,327,4,11:13,11,0,0,0,0,0
AA,9/30/2025,118,N107NN,JFK,6:00,5:56,332,317,-4,6:12,16,0,0,0,0,0
AA,9/30/2025,119,N402AN,LIH,9:12,9:04,362,343,-8,9:18,14,0,0,0,0,0
AA,9/30/2025,143,N473AN,HNL,15:01,15:00,353,332,-1,15:12,12,0,0,0,0,0
AA,9/30/2025,238,N105NN,JFK,10:20,10:19,334,310,-1,10:37,18,0,0,0,0,0
AA,9/30/2025,271,N440AN,OGG,8:57,8:57,347,326,0,9:12,15,0,0,0,0,0
AA,9/30/2025,274,N106NN,JFK,12:30,13:46,332,318,76,14:08,22,62,0,0,0,0
AA,9/30/2025,297,N451AN,HNL,18:42,18:34,350,330,-8,18:46,12,0,0,0,0,0
AA,9/30/2025,307,N103NN,JFK,8:00,13:36,333,318,336,13:47,11,37,0,0,0,284
AA,9/30/2025,315,N452AN,MIA,22:01,21:58,301,275,-3,22:09,11,0,0,0,0,0
AA,9/30/2025,345,N466AN,MIA,7:35,7:29,308,289,-6,7:47,18,0,0,0,0,0
AA,9/30/2025,383,N813NN,ORD,6:00,5:50,255,228,-10,6:03,13,0,0,0,0,0
AA,9/30/2025,591,N438AN,DCA,13:00,12:53,299,291,-7,13:07,14,0,0,0,0,0
AA,9/30/2025,613,N885NN,ORD,10:30,10:50,257,245,20,11:06,16,0,0,0,0,0
AA,9/30/2025,636,N917UY,CLT,13:56,13:50,292,278,-6,14:12,22,0,0,0,0,0
AA,9/30/2025,753,N920US,ATL,9:02,8:54,264,249,-8,9:13,19,0,0,0,0,0
AA,9/30/2025,776,N449AN,PHL,16:05,16:05,313,305,0,16:23,18,0,0,0,0,0
AA,9/30/2025,1011,N450AN,ORD,9:36,9:31,255,263,-5,9:43,12,0,0,0,0,0
AA,9/30/2025,1024,N901AA,MCO,11:28,12:00,296,265,32,12:10,10,0,0,0,0,0
AA,9/30/2025,1105,N982NN,CLT,10:45,10:37,299,286,-8,10:51,14,0,0,0,0,0
AA,9/30/2025,1221,N405AN,MIA,10:26,10:23,311,281,-3,10:38,15,0,0,0,0,0
AA,9/30/2025,1230,N918US,DFW,11:58,11:58,190,169,0,12:13,15,0,0,0,0,0
AA,9/30/2025,1292,N337PJ,BNA,10:26,10:18,245,231,-8,10:36,18,0,0,0,0,0
AA,9/30/2025,1451,N156UW,PHL,6:10,6:18,312,325,8,6:37,19,8,0,13,0,0
AA,9/30/2025,1499,N446AN,CLT,6:01,6:01,294,278,0,6:21,20,0,0,0,0,0
AA,9/30/2025,1504,N987AN,DFW,18:35,18:23,184,166,-12,18:36,13,0,0,0,0,0
AA,9/30/2025,1528,N413AN,PHL,14:15,14:06,315,297,-9,14:17,11,0,0,0,0,0
AA,9/30/2025,1595,N978UY,ORD,15:17,15:10,245,226,-7,15:21,11,0,0,0,0,0
AA,9/30/2025,1598,N959NN,ORD,7:30,7:22,254,233,-8,7:34,12,0,0,0,0,0
AA,9/30/2025,1659,N142AN,DFW,14:18,14:19,190,175,1,14:29,10,0,0,0,0,0
AA,9/30/2025,1675,N464AA,PHX,19:40,19:38,87,79,-2,19:53,15,0,0,0,0,0
AA,9/30/2025,1853,N838NN,ORD,11:30,14:11,257,224,161,14:23,12,0,0,0,0,128
AA,9/30/2025,1952,N162AA,CLT,7:00,6:54,296,274,-6,7:13,19,0,0,0,0,0
AA,9/30/2025,1972,N798AN,DFW,9:05,9:02,196,176,-3,9:21,19,0,0,0,0,0
AA,9/30/2025,1979,N130AN,ORD,12:45,12:38,258,274,-7,12:47,9,0,0,0,0,0
AA,9/30/2025,1982,N916NN,RDU,9:10,9:32,298,277,22,9:47,15,0,0,0,0,0
AA,9/30/2025,1994,N953NN,PHX,13:20,13:16,90,83,-4,13:30,14,0,0,0,0,0
AA,9/30/2025,2024,N447AN,DFW,15:25,15:25,189,164,0,15:35,10,0,0,0,0,0
AA,9/30/2025,2032,N519UW,PHX,16:26,16:24,88,74,-2,16:35,11,0,0,0,0,0
AA,9/30/2025,2037,N940AN,ORD,18:06,17:51,252,233,-15,18:10,19,0,0,0,0,0
AA,9/30/2025,2091,N437AN,DFW,10:35,10:30,188,169,-5,10:43,13,0,0,0,0,0
AA,9/30/2025,2284,N336RU,MIA,13:40,13:40,310,295,0,13:57,17,0,0,0,0,0
AA,9/30/2025,2311,N409AA,MIA,12:10,12:06,309,284,-4,12:18,12,0,0,0,0,0
AA,9/30/2025,2312,N907AA,PHX,9:55,9:45,88,81,-10,9:59,14,0,0,0,0,0
AA,9/30/2025,2453,N112AN,BOS,22:15,22:29,332,319,14,22:43,14,0,0,0,0,0
AA,9/30/2025,2490,N440AN,DFW,23:59,0:39,180,169,40,0:55,16,29,0,0,0,0
AA,9/30/2025,2511,N988AL,CLT,22:45,22:35,282,271,-10,22:53,18,0,0,0,0,0
AA,9/30/2025,2680,N402AN,CLT,23:41,23:30,284,275,-11,23:47,17,0,0,0,0,0
AA,9/30/2025,2746,N820NN,DFW,13:00,12:58,190,175,-2,13:10,12,0,0,0,0,0
AA,9/30/2025,2757,N913AN,ORD,23:59,23:57,253,241,-2,0:28,31,0,0,0,0,0
AA,9/30/2025,2758,N430AN,PHL,23:00,22:56,305,295,-4,23:11,15,0,0,0,0,0
AA,9/30/2025,2766,N903AA,DFW,7:45,7:39,188,182,-6,7:51,12,0,0,0,0,0
AA,9/30/2025,2777,N457AM,MIA,23:59,23:59,302,300,0,0:29,30,0,0,0,0,0
AA,9/30/2025,2785,N404AN,LAS,19:30,19:22,71,68,-8,19:38,16,0,0,0,0,0
AA,9/30/2025,2811,N838NN,DFW,6:00,6:03,188,164,3,6:20,17,0,0,0,0,0
AA,9/30/2025,2832,N460AN,PHL,9:25,9:19,317,300,-6,9:33,14,0,0,0,0,0
AA,9/30/2025,2850,N424AN,PHL,11:55,11:50,318,300,-5,12:03,13,0,0,0,0,0
AA,9/30/2025,3081,N153UW,DFW,17:00,16:52,190,164,-8,17:03,11,0,0,0,0,0
AA,9/30/2025,3138,N984NN,SFO,17:40,17:33,82,72,-7,17:45,12,0,0,0,0,0
AA,9/30/2025,3283,N445AA,DCA,8:22,8:30,300,300,8,8:44,14,0,0,0,0,0
DL,9/30/2025,311,N525DA,KOA,15:00,14:50,335,319,-10,15:04,14,0,0,0,0,0
DL,9/30/2025,320,N582NW,ATL,23:55,23:56,254,258,1,0:27,31,0,0,0,0,0
DL,9/30/2025,327,N590NW,ATL,10:10,10:06,257,245,-4,10:22,16,0,0,0,0,0
DL,9/30/2025,390,N546DN,ATL,6:15,6:14,260,255,-1,6:35,21,0,0,0,0,0
DL,9/30/2025,392,N707TW,DCA,7:50,7:45,296,300,-5,8:08,23,0,0,0,0,0
DL,9/30/2025,407,N590NW,DTW,22:45,22:39,255,247,-6,22:54,15,0,0,0,0,0
DL,9/30/2025,413,N590DT,MSP,11:25,11:16,217,194,-9,11:28,12,0,0,0,0,0
DL,9/30/2025,420,N346NB,DFW,18:50,18:40,179,166,-10,18:51,11,0,0,0,0,0
DL,9/30/2025,425,N1605,OGG,8:15,8:07,335,317,-8,8:20,13,0,0,0,0,0
DL,9/30/2025,428,N521DT,LIH,14:25,14:24,356,334,-1,14:37,13,0,0,0,0,0
DL,9/30/2025,430,N590DT,MSP,23:30,23:20,218,190,-10,23:32,12,0,0,0,0,0
DL,9/30/2025,437,N709TW,BOS,15:25,15:20,328,319,-5,15:35,15,0,0,0,0,0
DL,9/30/2025,443,N505DZ,HNL,17:50,18:03,345,342,13,18:17,14,0,0,0,0,0
DL,9/30/2025,446,N840MH,ATL,12:15,12:16,255,238,1,12:32,16,0,0,0,0,0
DL,9/30/2025,458,N588DT,CVG,22:30,22:28,247,242,-2,22:40,12,0,0,0,0,0
DL,9/30/2025,465,N1200K,HNL,13:59,13:53,339,371,-6,14:48,55,0,0,26,0,0
DL,9/30/2025,471,N546DN,ATL,17:30,17:18,255,263,-12,17:49,31,0,0,0,0,0
DL,9/30/2025,477,N532DN,FLL,23:00,22:55,290,282,-5,23:12,17,0,0,0,0,0
DL,9/30/2025,480,N518DQ,HNL,8:30,8:30,351,337,0,8:45,15,0,0,0,0,0
DL,9/30/2025,482,N513DA,MCO,7:00,6:49,294,284,-11,7:07,18,0,0,0,0,0
DL,9/30/2025,494,N842DN,DTW,9:05,9:04,263,246,-1,9:17,13,0,0,0,0,0
DL,9/30/2025,507,N721TW,BOS,21:00,20:54,335,310,-6,21:03,9,0,0,0,0,0
DL,9/30/2025,508,N855DN,RDU,11:39,11:33,290,279,-6,11:43,10,0,0,0,0,0
DL,9/30/2025,515,N309DN,ATL,7:15,7:12,257,243,-3,7:27,15,0,0,0,0,0
DL,9/30/2025,521,N346NB,DFW,8:35,8:26,185,180,-9,8:41,15,0,0,0,0,0
DL,9/30/2025,528,N595NW,ATL,11:10,11:04,257,256,-6,11:27,23,0,0,0,0,0
DL,9/30/2025,622,N349NW,AUS,16:15,17:55,177,176,100,18:18,23,99,0,0,0,0
DL,9/30/2025,639,N721TW,BOS,6:45,6:41,334,336,-4,7:02,21,0,0,0,0,0
DL,9/30/2025,692,N374NW,AUS,18:50,23:32,178,171,282,23:52,20,275,0,0,0,0
DL,9/30/2025,708,N319DN,DTW,15:12,15:05,262,248,-7,15:16,11,0,0,0,0,0
DL,9/30/2025,715,N593NW,ATL,14:15,14:06,264,247,-9,14:24,18,0,0,0,0,0
DL,9/30/2025,718,N509DT,MCO,16:10,16:08,289,285,-2,16:25,17,0,0,0,0,0
DL,9/30/2025,733,N378DN,DTW,5:30,5:19,265,251,-11,5:36,17,0,0,0,0,0
DL,9/30/2025,749,N588DT,TPA,10:19,10:13,281,269,-6,10:29,16,0,0,0,0,0
DL,9/30/2025,768,N930DZ,BNA,6:50,6:44,238,226,-6,6:55,11,0,0,0,0,0
DL,9/30/2025,782,N114DN,ATL,8:35,8:25,263,248,-10,8:43,18,0,0,0,0,0
DL,9/30/2025,783,N585NW,ATL,21:40,21:38,260,239,-2,21:53,15,0,0,0,0,0
DL,9/30/2025,792,N331DN,MSP,6:15,6:03,218,213,-12,6:23,20,0,0,0,0,0
DL,9/30/2025,799,N591DT,MSP,8:00,8:39,219,192,39,8:51,12,0,0,0,0,0
DL,9/30/2025,802,N582NW,DTW,12:00,11:57,260,241,-3,12:09,12,0,0,0,0,0
DL,9/30/2025,811,N574DT,MIA,9:05,9:26,302,282,21,9:40,14,0,0,0,0,0
DL,9/30/2025,858,N831DN,BNA,15:00,14:55,236,222,-5,15:05,10,0,0,0,0,0
DL,9/30/2025,867,N575DN,MCO,10:45,10:40,300,285,-5,10:53,13,0,0,0,0,0
DL,9/30/2025,872,N837DN,MSY,6:45,6:41,223,209,-4,6:54,13,0,0,0,0,0
DL,9/30/2025,909,N3759,IND,9:00,8:59,235,228,-1,9:10,11,0,0,0,0,0
DL,9/30/2025,910,N513DA,TPA,22:17,22:07,276,269,-10,22:20,13,0,0,0,0,0
DL,9/30/2025,914,N310DN,MSP,13:20,13:12,216,198,-8,13:24,12,0,0,0,0,0
DL,9/30/2025,915,N189DN,JFK,23:55,23:49,331,329,-6,0:26,37,0,0,0,0,0
DL,9/30/2025,934,N186DN,JFK,6:00,5:56,333,353,-4,6:17,21,0,0,16,0,0
DL,9/30/2025,938,N178DZ,JFK,10:35,10:26,350,311,-9,10:39,13,0,0,0,0,0
DL,9/30/2025,939,N173DZ,JFK,13:10,13:04,340,313,-6,13:15,11,0,0,0,0,0
DL,9/30/2025,946,N356NW,AUS,6:30,6:15,179,182,-15,6:36,21,0,0,0,0,0
DL,9/30/2025,951,N830MH,JFK,11:45,11:40,342,314,-5,11:52,12,0,0,0,0,0
DL,9/30/2025,958,N828MH,JFK,9:35,9:29,350,322,-6,9:44,15,0,0,0,0,0
DL,9/30/2025,960,N831MH,JFK,21:33,21:23,327,313,-10,21:45,22,0,0,0,0,0
DL,9/30/2025,979,N831MH,JFK,7:00,6:54,329,321,-6,7:08,14,0,0,0,0,0
DL,9/30/2025,986,N339NW,AUS,10:40,10:30,184,177,-10,10:49,19,0,0,0,0,0
